Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
7.05,0,526,526,526,526,526,526,526.0
7.05,1,526,526,526,525,526,526,525.83
7.05,2,526,526,525,526,526,526,525.83
7.05,3,526,525,526,525,526,525,525.5
7.05,4,526,526,526,526,526,526,526.0
7.05,5,526,526,526,525,526,526,525.83
7.05,6,526,526,526,526,526,526,526.0
7.05,7,525,525,526,525,526,526,525.5
7.05,8,525,526,526,525,526,526,525.67
7.05,9,525,526,526,526,525,526,525.67
7.05,10,526,525,525,525,526,525,525.33
7.05,11,526,525,526,526,525,525,525.5
7.05,12,526,526,526,525,525,525,525.5
7.05,13,525,525,525,525,525,525,525.0
7.05,14,525,525,525,525,525,525,525.0
7.05,15,525,525,525,525,525,525,525.0
7.05,16,525,525,525,524,525,524,524.67
7.05,17,525,524,524,524,525,524,524.33
7.05,18,524,524,524,524,524,524,524.0
7.05,19,524,523,523,523,524,523,523.33
7.05,20,523,523,523,523,523,522,522.83
7.05,21,522,522,522,522,523,522,522.17
7.05,22,522,522,522,521,522,522,521.83
7.05,23,521,521,521,521,521,521,521.0
7.05,24,521,520,521,520,521,520,520.5
7.05,25,520,519,520,519,520,519,519.5
7.05,26,519,519,519,519,519,518,518.83
7.05,27,519,518,518,518,519,518,518.33
7.05,28,518,517,518,517,518,517,517.5
7.05,29,518,516,517,517,517,517,517.0
7.05,30,517,516,517,516,517,516,516.5
7.05,31,516,515,516,515,515,515,515.33
7.05,32,515,514,515,514,515,514,514.5
7.05,33,514,514,514,513,514,513,513.67
7.05,34,514,513,513,512,514,513,513.17
7.05,35,513,512,513,512,513,512,512.5
7.05,36,512,511,512,511,512,511,511.5
7.05,37,511,510,511,510,511,510,510.5
7.05,38,511,510,511,509,511,510,510.33
7.05,39,510,508,510,509,509,508,509.0
7.05,40,509,507,509,508,509,507,508.17
7.05,41,508,507,508,507,508,507,507.5
7.05,42,508,506,507,506,507,506,506.67
7.05,43,507,505,506,505,507,505,505.83
7.05,44,506,504,506,504,505,504,504.83
7.05,45,505,504,505,503,505,503,504.17
7.05,46,504,502,504,503,504,503,503.33
7.05,47,503,502,503,502,503,502,502.5
7.05,48,502,501,502,501,502,501,501.5
7.05,49,502,500,501,500,501,500,500.67
7.05,50,501,499,501,499,501,499,500.0
7.05,51,500,498,500,498,500,498,499.0
7.05,52,499,498,499,498,499,497,498.33
7.05,53,498,496,498,496,498,497,497.17
7.05,54,498,496,497,495,497,496,496.5
7.05,55,496,495,496,495,496,495,495.5
7.05,56,495,494,496,494,495,494,494.67
7.05,57,495,493,494,493,494,493,493.67
7.05,58,494,492,493,492,494,492,492.83
7.05,59,493,491,493,491,493,491,492.0
7.05,60,492,490,492,491,492,491,491.33
7.05,61,491,490,491,489,491,490,490.33
7.05,62,490,489,490,489,490,489,489.5
7.05,63,489,488,489,488,490,487,488.5
