Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
5.7,0,526,526,525,526,526,526,525.83
5.7,1,526,526,526,526,525,526,525.83
5.7,2,525,526,525,526,526,526,525.67
5.7,3,526,526,525,526,526,526,525.83
5.7,4,526,526,525,526,526,526,525.83
5.7,5,525,526,526,526,526,526,525.83
5.7,6,526,526,526,526,526,526,526.0
5.7,7,526,526,526,526,525,525,525.67
5.7,8,526,525,526,525,525,525,525.33
5.7,9,526,526,526,526,526,525,525.83
5.7,10,526,526,526,525,526,526,525.83
5.7,11,526,526,526,526,525,525,525.67
5.7,12,525,526,526,526,526,525,525.67
5.7,13,525,525,526,526,525,526,525.5
5.7,14,526,526,526,525,526,526,525.83
5.7,15,526,526,525,525,525,526,525.5
5.7,16,525,526,525,526,525,525,525.33
5.7,17,525,525,525,525,526,525,525.17
5.7,18,525,525,525,525,525,525,525.0
5.7,19,525,525,525,525,525,525,525.0
5.7,20,525,524,525,525,525,525,524.83
5.7,21,525,524,524,524,524,524,524.17
5.7,22,524,524,524,524,524,524,524.0
5.7,23,524,523,524,523,524,523,523.5
5.7,24,523,523,523,523,524,523,523.17
5.7,25,523,522,523,523,523,522,522.67
5.7,26,523,522,522,522,523,522,522.33
5.7,27,522,522,522,522,522,522,522.0
5.7,28,522,521,522,521,521,521,521.33
5.7,29,521,520,521,520,521,521,520.67
5.7,30,520,520,520,520,520,520,520.0
5.7,31,520,519,520,520,520,520,519.83
5.7,32,520,519,519,518,519,519,519.0
5.7,33,519,518,519,518,519,518,518.5
5.7,34,518,518,519,518,518,518,518.17
5.7,35,518,517,518,517,518,517,517.5
5.7,36,517,516,517,516,517,516,516.5
5.7,37,517,516,517,516,517,516,516.5
5.7,38,516,515,516,515,516,515,515.5
5.7,39,516,514,515,515,516,514,515.0
5.7,40,515,514,515,514,515,514,514.5
5.7,41,514,513,514,513,514,513,513.5
5.7,42,514,513,513,513,513,513,513.17
5.7,43,513,512,513,512,513,512,512.5
5.7,44,512,511,512,511,512,511,511.5
5.7,45,512,511,511,511,511,511,511.17
5.7,46,511,510,511,510,511,510,510.5
5.7,47,511,509,510,509,510,509,509.67
5.7,48,510,508,510,509,510,508,509.17
5.7,49,509,508,509,508,509,508,508.5
5.7,50,509,507,508,507,508,507,507.67
5.7,51,508,506,508,506,508,507,507.17
5.7,52,507,506,507,506,507,506,506.5
5.7,53,506,505,506,505,506,505,505.5
5.7,54,506,504,506,504,506,505,505.17
5.7,55,505,504,505,504,505,504,504.5
5.7,56,504,503,504,503,504,503,503.5
5.7,57,504,502,503,502,503,502,502.67
5.7,58,503,502,503,501,503,502,502.33
5.7,59,502,501,502,501,502,501,501.5
5.7,60,502,500,502,500,501,500,500.83
5.7,61,501,500,501,499,500,499,500.0
5.7,62,500,499,500,499,500,499,499.5
5.7,63,499,498,499,498,499,498,498.5
5.7,64,499,497,499,497,499,497,498.0
5.7,65,498,496,498,496,498,496,497.0
5.7,66,497,496,497,496,497,496,496.5
5.7,67,497,495,496,495,496,495,495.67
5.7,68,496,494,496,494,496,494,495.0
5.7,69,495,494,495,494,495,494,494.5
5.7,70,495,493,495,493,494,493,493.83
5.7,71,494,493,494,493,494,492,493.33
5.7,72,493,492,493,492,493,492,492.5
5.7,73,492,491,492,491,493,490,491.5
5.7,74,492,490,491,490,492,490,490.83
5.7,75,491,489,491,489,491,489,490.0
5.7,76,490,489,490,489,490,488,489.33
5.7,77,489,488,489,488,489,488,488.5
5.7,78,489,487,489,487,488,487,487.83
5.7,79,488,486,488,486,488,486,487.0
5.7,80,487,486,487,485,487,486,486.33
5.7,81,486,485,486,485,487,485,485.67
5.7,82,486,484,486,484,485,484,484.83
5.7,83,485,484,485,484,485,483,484.33
5.7,84,484,483,484,483,484,483,483.5
5.7,85,484,482,483,482,484,482,482.83
5.7,86,482,481,483,481,483,481,481.83
5.7,87,482,480,482,480,482,480,481.0
5.7,88,481,480,481,480,481,480,480.5
5.7,89,481,479,481,479,480,479,479.83
5.7,90,479,478,480,478,480,478,478.83
5.7,91,479,477,479,477,479,477,478.0
5.7,92,479,476,478,477,478,477,477.5
5.7,93,477,476,478,476,478,476,476.83
5.7,94,477,475,477,475,477,475,476.0
5.7,95,476,474,476,475,476,474,475.17
5.7,96,475,473,475,474,476,474,474.5
5.7,97,475,473,474,473,474,473,473.67
5.7,98,474,472,474,472,474,472,473.0
5.7,99,473,472,473,471,473,471,472.17
5.7,100,472,470,472,471,472,470,471.17
5.7,101,471,469,471,469,472,470,470.33
5.7,102,471,469,470,469,471,469,469.83
5.7,103,470,468,470,468,470,468,469.0
5.7,104,469,467,469,468,469,467,468.17
5.7,105,468,467,468,467,468,467,467.5
5.7,106,468,466,467,466,467,466,466.67
5.7,107,467,465,467,465,467,465,466.0
5.7,108,466,465,466,465,466,464,465.33
5.7,109,465,464,465,463,465,464,464.33
5.7,110,465,463,465,463,465,463,464.0
5.7,111,463,462,463,462,464,462,462.67
5.7,112,463,462,463,461,463,461,462.17
5.7,113,463,461,462,460,462,461,461.5
5.7,114,461,460,461,460,462,460,460.67
5.7,115,461,459,460,459,460,459,459.67
5.7,116,460,458,460,458,460,458,459.0
5.7,117,459,458,459,458,459,457,458.33
5.7,118,458,457,458,456,458,457,457.33
5.7,119,458,456,458,456,457,456,456.83
5.7,120,457,455,456,455,456,455,455.67
5.7,121,456,455,456,454,456,454,455.17
5.7,122,455,453,455,453,455,454,454.17
5.7,123,454,453,454,453,454,453,453.5
5.7,124,454,452,453,452,453,452,452.67
5.7,125,453,451,453,451,453,451,452.0
5.7,126,452,450,452,451,452,451,451.33
5.7,127,451,450,451,450,451,450,450.5
5.7,128,450,449,451,449,450,449,449.67
5.7,129,450,448,450,448,450,448,449.0
5.7,130,449,447,449,448,449,447,448.17
5.7,131,448,447,448,446,448,447,447.33
5.7,132,447,446,448,446,447,446,446.67
5.7,133,447,445,446,445,447,445,445.83
5.7,134,446,444,446,444,446,444,445.0
5.7,135,445,443,445,443,445,443,444.0
5.7,136,444,443,444,443,445,443,443.67
5.7,137,444,442,443,441,443,442,442.5
5.7,138,443,441,442,441,443,441,441.83
5.7,139,442,440,442,440,442,440,441.0
5.7,140,441,440,441,440,441,439,440.33
5.7,141,440,438,441,438,441,439,439.5
5.7,142,439,438,439,438,439,438,438.5
5.7,143,439,437,439,437,439,437,438.0
5.7,144,438,436,438,436,438,436,437.0
5.7,145,437,435,437,435,437,436,436.17
5.7,146,436,435,436,434,436,435,435.33
5.7,147,435,434,435,434,436,434,434.67
5.7,148,435,433,435,433,435,433,434.0
5.7,149,434,432,434,432,434,432,433.0
5.7,150,433,431,433,431,434,432,432.33
5.7,151,432,431,432,431,432,431,431.5
5.7,152,432,430,432,430,432,430,431.0
5.7,153,431,429,431,429,431,429,430.0
5.7,154,430,428,430,428,430,428,429.0
5.7,155,429,428,429,428,429,428,428.5
5.7,156,428,426,428,426,429,427,427.33
5.7,157,428,426,427,426,427,426,426.67
5.7,158,427,425,427,425,427,425,426.0
5.7,159,426,425,426,424,426,424,425.17
5.7,160,425,423,426,423,425,424,424.33
5.7,161,424,423,424,423,424,423,423.5
5.7,162,423,422,423,422,424,422,422.67
5.7,163,423,421,423,421,423,421,422.0
5.7,164,422,420,422,421,422,420,421.17
5.7,165,421,420,421,419,422,420,420.5
5.7,166,420,419,420,419,421,419,419.67
5.7,167,419,418,420,418,420,418,418.83
5.7,168,419,417,419,417,419,417,418.0
5.7,169,418,416,418,416,418,417,417.17
5.7,170,418,416,417,416,418,416,416.83
5.7,171,416,415,416,415,417,415,415.67
5.7,172,416,414,416,414,416,414,415.0
5.7,173,414,413,415,413,415,413,413.83
5.7,174,414,413,414,412,414,412,413.17
5.7,175,413,412,413,411,413,411,412.17
5.7,176,412,411,412,411,412,411,411.5
5.7,177,412,410,412,410,411,410,410.83
5.7,178,411,409,411,409,411,409,410.0
5.7,179,410,408,410,408,410,408,409.0
5.7,180,409,407,409,407,409,408,408.17
5.7,181,408,407,408,407,409,407,407.67
