Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
7.7,0,526,526,526,526,526,526,526.0
7.7,1,526,526,526,526,526,526,526.0
7.7,2,526,526,525,526,526,526,525.83
7.7,3,525,526,526,526,525,526,525.67
7.7,4,526,525,526,526,526,526,525.83
7.7,5,525,525,526,526,525,526,525.5
7.7,6,525,525,526,526,526,525,525.5
7.7,7,526,526,525,526,525,526,525.67
7.7,8,526,525,526,526,526,526,525.83
7.7,9,526,525,525,526,526,526,525.67
7.7,10,526,525,525,526,525,526,525.5
7.7,11,525,525,525,526,526,525,525.33
7.7,12,525,525,525,525,525,525,525.0
7.7,13,525,525,525,525,525,525,525.0
7.7,14,525,525,525,525,525,525,525.0
7.7,15,525,524,525,524,525,524,524.5
7.7,16,524,524,524,524,524,524,524.0
7.7,17,524,523,523,523,524,523,523.33
7.7,18,523,523,523,523,523,523,523.0
7.7,19,523,522,523,522,522,522,522.33
7.7,20,522,521,522,522,522,521,521.67
7.7,21,521,521,521,521,521,520,520.83
7.7,22,521,520,521,520,520,520,520.33
7.7,23,520,520,520,519,520,519,519.67
7.7,24,519,518,519,518,519,518,518.5
7.7,25,519,518,519,518,518,518,518.33
7.7,26,518,517,518,517,518,517,517.5
7.7,27,517,516,517,516,517,516,516.5
7.7,28,516,515,516,516,516,515,515.67
7.7,29,516,515,516,515,515,515,515.33
7.7,30,515,514,515,514,514,514,514.33
7.7,31,514,513,514,513,514,513,513.5
7.7,32,513,512,513,512,513,512,512.5
7.7,33,512,511,512,511,512,511,511.5
7.7,34,512,510,511,510,511,510,510.67
7.7,35,510,510,510,509,510,509,509.67
7.7,36,510,508,510,508,510,509,509.17
7.7,37,509,508,509,508,509,508,508.5
7.7,38,508,507,508,507,508,507,507.5
7.7,39,507,505,507,505,507,506,506.17
7.7,40,506,505,506,505,506,505,505.5
7.7,41,505,504,505,504,505,504,504.5
7.7,42,505,503,504,503,504,503,503.67
7.7,43,504,502,504,502,504,502,503.0
7.7,44,503,501,503,501,503,501,502.0
7.7,45,502,500,502,500,502,500,501.0
7.7,46,501,499,501,499,501,499,500.0
7.7,47,500,499,500,498,500,498,499.17
7.7,48,499,497,499,497,499,497,498.0
7.7,49,498,497,498,497,498,496,497.33
7.7,50,497,496,497,496,497,496,496.5
7.7,51,497,495,496,495,496,495,495.67
7.7,52,495,494,495,494,495,494,494.5
7.7,53,495,493,494,493,494,493,493.67
7.7,54,494,492,494,492,494,492,493.0
7.7,55,492,491,493,491,492,491,491.67
7.7,56,492,490,491,490,492,490,490.83
7.7,57,491,489,490,489,490,489,489.67
7.7,58,490,488,489,488,489,488,488.67
7.7,59,489,487,489,487,489,487,488.0
7.7,60,488,486,488,486,488,486,487.0
7.7,61,487,485,487,485,487,485,486.0
7.7,62,486,484,486,484,486,484,485.0
7.7,63,485,483,485,483,485,483,484.0
7.7,64,484,482,484,482,484,482,483.0
7.7,65,483,481,483,481,483,481,482.0
7.7,66,482,481,482,480,482,480,481.17
7.7,67,481,479,481,479,481,480,480.17
7.7,68,480,478,480,478,480,478,479.0
7.7,69,480,477,479,477,479,478,478.33
7.7,70,478,476,478,476,478,476,477.0
7.7,71,477,475,477,476,477,475,476.17
7.7,72,476,474,476,474,476,475,475.17
