Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
4.12,0,526,526,526,526,526,526,526.0
4.12,1,526,526,526,526,525,526,525.83
4.12,2,526,526,526,526,526,526,526.0
4.12,3,526,526,526,526,526,526,526.0
4.12,4,525,526,526,525,526,526,525.67
4.12,5,526,526,526,526,526,526,526.0
4.12,6,525,526,526,526,526,526,525.83
4.12,7,526,526,526,525,526,526,525.83
4.12,8,526,526,526,526,526,526,526.0
4.12,9,526,526,526,526,526,526,526.0
4.12,10,526,526,525,526,526,526,525.83
4.12,11,526,526,526,525,526,525,525.67
4.12,12,525,526,526,526,526,526,525.83
4.12,13,525,525,525,526,526,526,525.5
4.12,14,526,526,526,526,525,526,525.83
4.12,15,526,526,526,526,525,526,525.83
4.12,16,526,526,525,526,525,526,525.67
4.12,17,526,526,526,526,526,526,526.0
4.12,18,526,526,525,526,526,526,525.83
4.12,19,525,526,526,526,526,525,525.67
4.12,20,526,525,526,526,526,525,525.67
4.12,21,526,526,526,525,526,525,525.67
4.12,22,525,525,526,525,526,525,525.33
4.12,23,525,525,525,525,525,525,525.0
4.12,24,526,525,525,525,525,525,525.17
4.12,25,525,525,526,525,525,525,525.17
4.12,26,525,525,525,525,525,525,525.0
4.12,27,525,525,525,525,525,525,525.0
4.12,28,525,525,525,525,525,524,524.83
4.12,29,524,524,524,524,524,524,524.0
4.12,30,524,524,524,524,524,524,524.0
4.12,31,524,524,524,524,524,524,524.0
4.12,32,524,523,523,523,523,523,523.17
4.12,33,523,523,523,523,523,523,523.0
4.12,34,523,523,523,522,523,523,522.83
4.12,35,523,523,523,522,522,522,522.5
4.12,36,522,522,522,522,522,522,522.0
4.12,37,522,521,522,521,522,522,521.67
4.12,38,522,521,521,521,522,521,521.33
4.12,39,521,521,521,521,521,521,521.0
4.12,40,521,520,521,520,521,520,520.5
4.12,41,520,520,520,520,521,520,520.17
4.12,42,520,520,520,519,520,519,519.67
4.12,43,520,519,519,519,519,519,519.17
4.12,44,519,519,519,519,519,518,518.83
4.12,45,519,518,518,518,519,518,518.33
4.12,46,518,518,518,518,518,518,518.0
4.12,47,518,517,518,517,518,517,517.5
4.12,48,517,517,517,517,517,517,517.0
4.12,49,517,516,517,516,517,516,516.5
4.12,50,517,516,516,516,516,516,516.17
4.12,51,516,515,516,515,516,515,515.5
4.12,52,516,515,516,515,515,515,515.33
4.12,53,515,514,515,514,515,514,514.5
4.12,54,514,514,515,514,515,513,514.17
4.12,55,514,513,514,513,514,513,513.5
4.12,56,514,513,513,513,513,513,513.17
4.12,57,513,512,513,512,513,512,512.5
4.12,58,513,512,513,512,512,511,512.17
4.12,59,512,511,512,511,512,511,511.5
4.12,60,512,511,511,511,512,511,511.33
4.12,61,511,510,511,510,511,510,510.5
4.12,62,511,509,510,510,511,510,510.17
4.12,63,510,509,510,509,510,509,509.5
4.12,64,510,509,509,509,510,509,509.33
4.12,65,509,508,509,508,509,508,508.5
4.12,66,509,508,509,508,509,508,508.5
4.12,67,508,507,508,507,508,507,507.5
4.12,68,508,507,508,506,508,506,507.17
4.12,69,507,506,507,506,507,506,506.5
4.12,70,507,505,507,505,506,506,506.0
4.12,71,506,505,506,505,506,505,505.5
4.12,72,506,504,506,505,505,505,505.17
4.12,73,505,504,505,504,505,504,504.5
4.12,74,504,503,504,503,505,503,503.67
4.12,75,504,503,504,503,504,503,503.5
4.12,76,503,502,503,502,503,502,502.5
4.12,77,503,502,503,502,503,502,502.5
4.12,78,502,501,502,501,502,501,501.5
4.12,79,502,501,502,501,502,501,501.5
4.12,80,501,500,502,500,501,500,500.67
4.12,81,501,499,501,500,501,500,500.33
4.12,82,500,499,500,499,500,499,499.5
4.12,83,499,499,499,499,500,498,499.0
4.12,84,499,498,499,498,499,498,498.5
4.12,85,499,497,499,497,499,498,498.17
4.12,86,498,497,498,497,498,497,497.5
4.12,87,498,497,497,496,498,496,497.0
4.12,88,497,496,497,496,497,496,496.5
4.12,89,496,495,496,495,497,495,495.67
4.12,90,496,495,496,495,496,495,495.5
4.12,91,495,494,495,494,495,495,494.67
4.12,92,495,494,495,494,495,494,494.5
4.12,93,494,493,494,493,494,493,493.5
4.12,94,494,493,494,492,494,492,493.17
4.12,95,493,492,493,492,493,492,492.5
4.12,96,493,491,492,491,493,491,491.83
4.12,97,492,491,492,491,492,491,491.5
4.12,98,492,490,491,490,491,490,490.67
4.12,99,491,490,491,490,491,490,490.5
4.12,100,490,489,490,489,490,489,489.5
4.12,101,490,489,490,488,490,488,489.17
4.12,102,489,488,489,488,489,488,488.5
4.12,103,488,487,488,487,489,487,487.67
4.12,104,488,487,488,487,488,487,487.5
4.12,105,488,486,487,486,487,486,486.67
4.12,106,487,485,487,486,487,486,486.33
4.12,107,486,485,486,485,486,485,485.5
4.12,108,486,484,486,485,486,484,485.17
4.12,109,485,484,485,484,485,484,484.5
4.12,110,484,483,485,483,485,483,483.83
4.12,111,484,483,484,483,484,483,483.5
4.12,112,484,482,484,482,483,482,482.83
4.12,113,483,482,483,482,483,482,482.5
4.12,114,482,481,482,481,483,481,481.67
4.12,115,482,480,482,481,482,481,481.33
4.12,116,481,480,481,480,481,480,480.5
4.12,117,481,479,481,480,481,480,480.33
4.12,118,480,479,480,478,480,478,479.17
4.12,119,479,478,480,478,480,478,478.83
4.12,120,479,478,479,478,479,478,478.5
4.12,121,478,477,478,477,478,477,477.5
4.12,122,478,476,478,476,478,477,477.17
4.12,123,477,476,477,476,477,476,476.5
4.12,124,477,475,477,475,476,475,475.83
4.12,125,476,475,476,475,476,474,475.33
4.12,126,475,474,476,474,475,474,474.67
4.12,127,475,474,474,473,475,473,474.0
4.12,128,474,473,475,473,474,473,473.67
4.12,129,474,472,474,472,474,472,473.0
4.12,130,473,472,473,472,473,472,472.5
4.12,131,473,471,472,471,472,471,471.67
4.12,132,472,470,472,471,472,471,471.33
4.12,133,471,470,471,470,471,470,470.5
4.12,134,471,469,471,469,471,470,470.17
4.12,135,470,469,470,469,470,469,469.5
4.12,136,469,468,469,469,469,468,468.67
4.12,137,469,468,469,467,469,468,468.33
4.12,138,468,467,468,467,468,467,467.5
4.12,139,468,467,468,466,468,466,467.17
4.12,140,468,466,467,466,467,466,466.67
4.12,141,467,465,467,465,466,465,465.83
4.12,142,466,465,466,465,466,465,465.5
4.12,143,465,464,465,464,466,464,464.67
4.12,144,465,464,465,464,465,463,464.33
4.12,145,464,463,464,463,464,463,463.5
4.12,146,464,463,464,462,464,462,463.17
4.12,147,463,462,463,462,463,462,462.5
4.12,148,463,461,463,461,462,461,461.83
4.12,149,462,461,462,461,462,461,461.5
4.12,150,461,460,461,460,462,460,460.67
4.12,151,461,459,461,459,460,459,459.83
4.12,152,460,459,460,459,460,459,459.5
4.12,153,460,458,459,458,459,459,458.83
4.12,154,459,458,459,458,459,457,458.33
4.12,155,458,457,458,457,458,457,457.5
4.12,156,458,456,457,456,458,456,456.83
4.12,157,457,455,457,456,457,456,456.33
4.12,158,457,455,457,455,456,455,455.83
4.12,159,456,455,456,454,456,455,455.33
4.12,160,455,454,455,454,455,454,454.5
4.12,161,455,453,455,453,455,453,454.0
4.12,162,454,452,454,453,454,453,453.33
4.12,163,454,452,454,452,454,452,453.0
4.12,164,453,452,453,452,453,452,452.5
4.12,165,452,451,452,451,452,451,451.5
4.12,166,452,450,452,450,452,450,451.0
4.12,167,451,450,451,450,451,450,450.5
4.12,168,450,449,451,449,451,449,449.83
4.12,169,450,449,450,449,450,448,449.33
4.12,170,449,448,449,448,449,448,448.5
4.12,171,449,447,448,447,449,447,447.83
4.12,172,448,447,448,447,448,447,447.5
4.12,173,448,446,448,446,447,446,446.83
4.12,174,447,446,447,445,447,446,446.33
4.12,175,446,445,446,445,446,445,445.5
4.12,176,446,445,446,444,446,444,445.17
4.12,177,445,444,445,444,445,444,444.5
4.12,178,444,443,444,443,445,443,443.67
4.12,179,444,442,444,443,444,442,443.17
4.12,180,443,442,443,442,443,442,442.5
4.12,181,443,441,443,441,443,441,442.0
4.12,182,442,441,442,441,442,440,441.33
4.12,183,442,440,441,440,442,440,440.83
4.12,184,441,440,441,439,441,440,440.33
4.12,185,440,439,440,439,440,439,439.5
4.12,186,440,438,440,438,440,438,439.0
4.12,187,439,438,439,438,439,438,438.5
4.12,188,438,437,439,437,438,437,437.67
4.12,189,438,436,438,437,438,436,437.17
