Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
6.3,143,428,427,428,426,428,427,427.33
6.3,144,427,426,427,426,427,425,426.33
6.3,145,426,424,427,425,427,425,425.67
6.3,146,426,424,426,424,426,424,425.0
6.3,147,425,423,425,423,425,423,424.0
6.3,148,424,422,424,422,424,422,423.0
6.3,149,423,421,423,421,423,421,422.0
6.3,150,422,421,422,421,422,420,421.33
6.3,151,421,420,421,420,421,420,420.5
6.3,152,421,419,420,418,421,418,419.5
6.3,153,420,418,420,418,419,418,418.83
6.3,154,418,417,418,417,419,417,417.67
6.3,155,418,416,418,416,418,416,417.0
6.3,156,417,415,417,415,417,415,416.0
6.3,157,416,415,416,415,416,414,415.33
6.3,158,415,414,415,414,415,413,414.33
6.3,159,414,413,414,413,415,413,413.67
6.3,160,414,412,414,412,413,412,412.83
6.3,161,413,411,413,411,413,411,412.0
6.3,162,412,410,411,410,412,410,410.83
6.3,163,411,409,411,409,411,409,410.0
6.3,164,410,408,410,408,410,408,409.0
6.3,165,409,407,409,407,409,407,408.0
6.3,166,409,406,408,406,408,406,407.17
6.3,167,407,405,407,406,407,406,406.33
6.3,168,407,405,406,405,407,405,405.83
6.3,169,406,404,405,404,406,404,404.83
6.3,170,405,403,405,403,405,403,404.0
6.3,171,404,402,404,402,404,402,403.0
6.3,172,403,402,403,401,403,401,402.17
6.3,173,402,400,402,400,402,400,401.0
6.3,174,401,400,401,400,401,400,400.5
6.3,175,401,399,400,399,400,399,399.67
6.3,176,400,398,399,398,400,398,398.83
6.3,177,399,397,398,397,399,397,397.83
6.3,178,398,396,398,396,398,396,397.0
6.3,179,397,395,397,395,397,395,396.0
6.3,180,396,394,396,394,396,394,395.0
6.3,181,395,393,395,393,395,393,394.0
6.3,182,394,393,394,392,394,392,393.17
6.3,183,393,392,393,391,393,392,392.33
6.3,184,393,391,393,391,393,391,392.0
6.3,185,392,390,391,390,392,390,390.83
6.3,186,391,389,391,389,391,389,390.0
6.3,187,390,388,390,388,390,388,389.0
6.3,188,389,387,389,387,389,387,388.0
6.3,189,388,386,388,387,388,387,387.33
6.3,190,387,385,387,386,387,385,386.17
6.3,191,387,385,386,385,386,385,385.67
6.3,192,386,384,385,383,385,384,384.5
6.3,193,385,383,385,383,385,383,384.0
6.3,194,384,382,384,382,384,382,383.0
6.3,195,383,381,383,381,383,381,382.0
6.3,196,382,380,382,381,382,380,381.17
6.3,197,381,380,381,379,381,379,380.17
6.3,198,380,378,380,378,380,379,379.17
6.3,199,379,378,379,377,379,377,378.17
6.3,200,378,377,379,376,379,377,377.67
6.3,201,377,376,377,376,378,376,376.67
6.3,202,376,375,376,375,377,375,375.67
6.3,203,376,374,376,374,376,374,375.0
6.3,204,375,373,375,373,375,373,374.0
6.3,205,374,372,374,372,374,372,373.0
6.3,206,373,371,373,372,373,372,372.33
6.3,207,372,370,372,371,372,370,371.17
6.3,208,371,370,371,370,371,370,370.5
6.3,209,370,369,370,369,371,369,369.67
6.3,210,370,368,369,368,370,368,368.83
6.3,211,369,367,369,367,369,367,368.0
6.3,212,368,367,368,366,368,366,367.17
6.3,213,367,365,367,365,367,366,366.17
6.3,214,366,365,366,365,367,365,365.67
6.3,215,366,364,365,363,365,363,364.33
6.3,216,364,363,364,363,365,363,363.67
6.3,217,363,362,363,362,363,362,362.5
6.3,218,363,361,362,361,362,361,361.67
6.3,219,361,360,362,360,361,360,360.67
6.3,220,361,359,361,359,361,359,360.0
6.3,221,360,359,360,358,360,358,359.17
6.3,222,359,358,359,357,359,358,358.33
6.3,223,358,357,358,357,358,357,357.5
6.3,224,358,356,357,356,357,356,356.67
6.3,225,356,355,356,355,357,355,355.67
6.3,226,355,354,355,354,355,354,354.5
6.3,227,355,353,354,353,355,353,353.83
6.3,228,354,352,354,352,354,352,353.0
6.3,229,353,351,353,351,353,352,352.17
6.3,230,352,351,352,350,352,351,351.33
6.3,231,351,349,351,350,351,350,350.33
6.3,232,350,349,350,349,351,349,349.67
6.3,233,349,348,350,348,349,348,348.67
6.3,234,349,347,348,347,349,347,347.83
6.3,235,348,346,348,347,348,346,347.17
6.3,236,347,346,347,345,347,346,346.33
6.3,237,346,345,346,345,346,345,345.5
6.3,238,345,343,345,344,345,344,344.33
6.3,239,344,343,344,343,344,343,343.5
6.3,240,343,342,343,342,343,342,342.5
6.3,241,342,341,342,341,342,341,341.5
6.3,242,341,340,342,340,341,340,340.67
6.3,243,341,339,341,339,341,339,340.0
