Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
3,158,477,476,477,476,477,477,476.67
3,159,477,476,477,476,477,476,476.5
3,160,476,475,476,475,476,475,475.5
3,161,476,475,476,475,476,475,475.5
3,162,476,474,475,475,476,474,475.0
3,163,475,474,475,474,475,474,474.5
3,164,475,473,474,473,474,473,473.67
3,165,474,473,474,473,474,473,473.5
3,166,474,472,474,473,473,472,473.0
3,167,473,472,473,472,473,472,472.5
3,168,473,472,473,472,473,472,472.5
3,169,472,471,472,471,472,471,471.5
3,170,472,471,472,471,472,471,471.5
3,171,471,470,471,470,471,470,470.5
3,172,471,470,471,470,471,470,470.5
3,173,470,469,470,469,470,470,469.67
3,174,470,469,470,468,470,469,469.33
3,175,469,468,469,468,470,468,468.67
3,176,469,468,469,468,469,468,468.5
3,177,469,467,468,467,469,468,468.0
3,178,468,467,468,467,468,467,467.5
3,179,467,467,468,466,468,466,467.0
3,180,467,466,467,466,467,466,466.5
3,181,466,466,467,465,467,466,466.17
3,182,466,465,466,465,466,465,465.5
3,183,466,464,466,465,466,465,465.33
3,184,465,464,465,464,465,464,464.5
3,185,465,464,465,464,465,464,464.5
3,186,464,464,464,463,464,464,463.83
3,187,464,463,464,463,464,463,463.5
3,188,463,463,464,462,463,462,462.83
3,189,463,461,463,462,463,462,462.33
3,190,462,461,463,461,462,461,461.67
3,191,462,461,462,461,462,461,461.5
3,192,462,461,462,460,462,461,461.33
3,193,461,460,461,460,461,460,460.5
3,194,461,459,461,459,461,459,460.0
3,195,460,459,460,459,460,459,459.5
3,196,459,458,460,459,460,459,459.17
3,197,459,458,459,458,459,458,458.5
3,198,458,458,459,457,459,458,458.17
3,199,458,457,458,457,458,457,457.5
3,200,458,457,457,457,458,457,457.33
3,201,457,456,457,456,457,456,456.5
3,202,457,456,457,456,457,456,456.5
3,203,456,455,456,455,456,455,455.5
3,204,456,455,456,455,456,455,455.5
3,205,455,454,455,454,455,454,454.5
3,206,455,454,455,454,455,454,454.5
3,207,454,453,454,453,454,454,453.67
3,208,454,453,454,453,454,453,453.5
3,209,453,452,453,452,454,453,452.83
3,210,453,452,453,452,453,452,452.5
3,211,452,452,452,452,453,452,452.17
3,212,452,451,452,451,452,451,451.5
3,213,452,451,452,450,452,450,451.17
3,214,451,450,451,450,451,450,450.5
3,215,450,449,451,450,451,450,450.17
3,216,450,449,450,449,450,449,449.5
3,217,450,449,450,448,450,449,449.33
3,218,449,448,449,448,449,449,448.67
3,219,449,448,449,448,449,448,448.5
3,220,448,447,448,447,448,447,447.5
3,221,448,447,448,447,448,447,447.5
3,222,447,446,447,446,448,446,446.67
3,223,447,446,447,446,447,446,446.5
3,224,446,445,446,445,447,446,445.83
3,225,446,445,446,445,446,445,445.5
3,226,445,444,445,445,446,445,445.0
3,227,445,444,445,444,445,444,444.5
3,228,444,443,444,444,444,444,443.83
3,229,444,443,444,443,444,443,443.5
3,230,443,442,443,442,444,443,442.83
3,231,443,442,443,442,443,442,442.5
3,232,442,441,442,442,443,442,442.0
3,233,442,441,442,441,442,441,441.5
3,234,441,441,442,441,441,440,441.0
3,235,441,440,441,440,441,440,440.5
3,236,441,440,440,440,441,440,440.33
3,237,440,439,440,439,440,439,439.5
3,238,439,439,439,439,440,439,439.17
3,239,439,438,439,438,439,438,438.5
3,240,439,438,439,438,438,438,438.33
3,241,438,437,438,438,438,438,437.83
3,242,438,437,438,437,438,437,437.5
3,243,437,436,437,437,437,436,436.67
3,244,437,436,437,436,437,436,436.5
3,245,436,436,436,436,436,435,435.83
3,246,436,435,436,435,436,436,435.67
3,247,435,435,435,434,436,435,435.0
3,248,434,434,435,434,435,434,434.33
3,249,434,434,434,434,434,434,434.0
3,250,434,433,434,433,434,434,433.67
3,251,433,433,433,433,433,433,433.0
3,252,433,432,433,433,433,433,432.83
3,253,432,432,432,432,433,432,432.17
3,254,432,432,432,432,432,432,432.0
3,255,431,431,431,431,431,431,431.0
