Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
3.9,0,525,526,526,526,525,526,525.67
3.9,1,526,525,526,526,526,525,525.67
3.9,2,526,526,526,526,526,526,526.0
3.9,3,525,526,526,526,526,526,525.83
3.9,4,526,526,526,526,525,526,525.83
3.9,5,526,526,526,525,525,526,525.67
3.9,6,526,525,526,526,526,525,525.67
3.9,7,526,526,526,525,525,526,525.67
3.9,8,526,526,526,526,526,526,526.0
3.9,9,525,526,526,526,525,526,525.67
3.9,10,526,526,526,526,526,526,526.0
3.9,11,525,525,526,526,526,526,525.67
3.9,12,526,526,526,526,526,526,526.0
3.9,13,526,526,526,526,526,526,526.0
3.9,14,525,526,525,525,526,526,525.5
3.9,15,526,526,526,525,526,526,525.83
3.9,16,525,526,525,525,526,526,525.5
3.9,17,526,526,525,526,526,526,525.83
3.9,18,525,525,526,526,526,525,525.5
3.9,19,525,526,526,526,525,526,525.67
3.9,20,526,526,526,525,526,526,525.83
3.9,21,526,525,526,526,526,525,525.67
3.9,22,526,526,525,525,526,526,525.67
3.9,23,526,525,525,526,526,525,525.5
3.9,24,525,525,526,525,526,525,525.33
3.9,25,525,525,525,525,525,525,525.0
3.9,26,525,525,525,525,525,525,525.0
3.9,27,525,525,525,525,525,525,525.0
3.9,28,525,525,525,525,525,525,525.0
3.9,29,525,524,525,525,525,525,524.83
3.9,30,525,524,525,524,525,524,524.5
3.9,31,524,524,524,524,524,524,524.0
3.9,32,524,524,524,524,524,524,524.0
3.9,33,524,524,524,524,524,523,523.83
3.9,34,523,523,523,523,524,523,523.17
3.9,35,523,523,523,523,523,523,523.0
3.9,36,523,522,523,523,523,523,522.83
3.9,37,522,522,523,522,523,522,522.33
3.9,38,522,522,522,522,522,522,522.0
3.9,39,522,521,522,521,522,522,521.67
3.9,40,522,521,521,521,521,521,521.17
3.9,41,521,521,521,520,521,521,520.83
3.9,42,521,520,521,520,521,520,520.5
3.9,43,520,520,520,520,520,520,520.0
3.9,44,520,520,520,519,520,519,519.67
3.9,45,520,519,519,519,519,519,519.17
3.9,46,519,519,519,518,519,519,518.83
3.9,47,519,518,519,518,519,518,518.5
3.9,48,518,518,518,518,518,518,518.0
3.9,49,518,517,518,517,518,517,517.5
3.9,50,517,517,517,517,517,517,517.0
3.9,51,517,516,517,517,517,517,516.83
3.9,52,517,516,517,516,517,516,516.5
3.9,53,516,516,516,516,516,515,515.83
3.9,54,516,515,516,515,516,515,515.5
3.9,55,515,515,515,515,515,515,515.0
3.9,56,515,514,515,514,515,514,514.5
3.9,57,515,514,514,514,514,514,514.17
3.9,58,514,513,514,513,514,513,513.5
3.9,59,514,513,514,513,514,513,513.5
3.9,60,513,512,513,512,513,512,512.5
3.9,61,512,512,512,512,513,512,512.17
3.9,62,512,511,512,511,512,511,511.5
3.9,63,512,511,512,511,512,511,511.5
3.9,64,511,510,511,510,511,510,510.5
3.9,65,511,510,511,510,510,510,510.33
3.9,66,510,509,510,509,510,509,509.5
3.9,67,510,509,510,509,510,509,509.5
3.9,68,509,508,509,508,509,508,508.5
3.9,69,509,508,509,508,509,508,508.5
3.9,70,508,508,508,507,508,507,507.67
3.9,71,508,507,508,507,508,507,507.5
3.9,72,507,506,507,506,507,506,506.5
3.9,73,507,506,507,506,506,506,506.33
3.9,74,506,505,506,505,506,506,505.67
3.9,75,506,505,505,505,506,505,505.33
3.9,76,505,504,505,504,506,504,504.67
3.9,77,505,503,505,504,505,504,504.33
3.9,78,504,503,504,503,504,503,503.5
3.9,79,504,503,504,503,504,503,503.5
3.9,80,503,502,503,502,503,502,502.5
3.9,81,503,502,503,502,503,502,502.5
3.9,82,502,501,502,501,502,501,501.5
3.9,83,502,501,501,501,502,501,501.33
3.9,84,501,500,501,500,501,500,500.5
3.9,85,501,500,500,500,501,500,500.33
3.9,86,500,499,500,499,500,499,499.5
3.9,87,500,499,499,498,500,498,499.0
3.9,88,499,498,499,498,499,498,498.5
3.9,89,499,497,499,497,499,497,498.0
3.9,90,498,497,498,497,498,497,497.5
3.9,91,498,496,497,496,497,497,496.83
3.9,92,497,496,497,496,497,496,496.5
3.9,93,497,495,497,495,496,495,495.83
3.9,94,496,495,496,495,496,495,495.5
3.9,95,496,494,496,494,495,494,494.83
3.9,96,495,494,495,494,495,494,494.5
3.9,97,495,493,495,493,494,493,493.83
3.9,98,494,493,494,493,494,493,493.5
3.9,99,493,492,493,492,493,492,492.5
3.9,100,493,492,493,492,493,491,492.33
3.9,101,492,491,492,491,492,491,491.5
3.9,102,492,491,492,491,492,491,491.5
3.9,103,491,490,491,490,491,490,490.5
3.9,104,491,489,491,490,491,490,490.33
3.9,105,490,489,490,489,490,489,489.5
3.9,106,490,488,490,488,489,488,488.83
3.9,107,489,488,489,488,489,488,488.5
3.9,108,489,487,488,487,488,487,487.67
3.9,109,488,487,488,487,488,487,487.5
3.9,110,487,486,487,486,487,486,486.5
3.9,111,487,485,487,486,487,486,486.33
3.9,112,486,485,486,485,487,485,485.67
3.9,113,486,485,486,484,486,484,485.17
3.9,114,485,484,485,484,485,484,484.5
3.9,115,485,484,484,484,485,483,484.17
3.9,116,484,483,484,483,484,483,483.5
3.9,117,484,482,484,482,483,482,482.83
3.9,118,483,482,483,482,483,482,482.5
3.9,119,483,481,483,481,482,481,481.83
3.9,120,482,480,482,481,482,481,481.33
3.9,121,481,480,481,480,482,480,480.67
3.9,122,481,480,480,480,481,480,480.33
3.9,123,480,479,480,479,481,479,479.67
3.9,124,480,478,480,478,480,479,479.17
3.9,125,479,478,479,478,479,478,478.5
3.9,126,479,477,479,477,479,478,478.17
3.9,127,478,477,478,477,478,477,477.5
3.9,128,477,476,478,476,477,476,476.67
3.9,129,477,476,477,476,477,476,476.5
3.9,130,476,475,477,475,476,475,475.67
3.9,131,476,474,476,474,476,475,475.17
3.9,132,475,474,475,474,475,474,474.5
3.9,133,475,473,475,473,475,473,474.0
3.9,134,474,473,474,473,474,473,473.5
3.9,135,474,472,474,472,473,472,472.83
3.9,136,473,472,473,472,473,472,472.5
3.9,137,473,471,472,471,472,471,471.67
3.9,138,471,471,472,471,472,471,471.33
3.9,139,471,470,471,470,471,470,470.5
3.9,140,470,470,471,470,471,469,470.17
3.9,141,470,469,470,469,470,469,469.5
3.9,142,469,468,470,469,470,469,469.17
3.9,143,469,468,469,468,469,468,468.5
3.9,144,469,468,469,467,468,468,468.17
3.9,145,468,466,468,467,468,467,467.33
3.9,146,467,466,468,466,467,466,466.67
3.9,147,467,466,467,466,467,465,466.33
3.9,148,466,465,467,465,466,465,465.67
3.9,149,466,464,465,464,466,464,464.83
3.9,150,465,464,465,464,465,464,464.5
3.9,151,465,463,465,464,465,464,464.33
3.9,152,464,463,464,463,464,463,463.5
3.9,153,464,463,464,462,464,462,463.17
3.9,154,463,462,463,462,463,462,462.5
3.9,155,462,461,462,461,462,461,461.5
3.9,156,462,461,462,460,462,461,461.33
3.9,157,461,460,461,460,461,460,460.5
3.9,158,461,459,461,459,461,459,460.0
3.9,159,460,459,460,459,460,459,459.5
3.9,160,460,458,459,458,460,458,458.83
3.9,161,458,458,459,458,459,458,458.33
3.9,162,458,457,458,457,458,457,457.5
3.9,163,457,456,458,456,458,456,456.83
3.9,164,457,455,457,456,457,456,456.33
3.9,165,457,455,457,455,457,455,456.0
3.9,166,456,455,456,455,456,455,455.5
3.9,167,455,454,455,454,455,454,454.5
3.9,168,455,454,455,454,455,454,454.5
3.9,169,454,453,454,453,454,453,453.5
3.9,170,454,452,454,452,454,453,453.17
3.9,171,453,452,453,452,453,452,452.5
3.9,172,453,451,453,451,452,451,451.83
3.9,173,452,451,452,451,452,451,451.5
3.9,174,451,450,451,450,452,450,450.67
3.9,175,451,450,451,450,451,450,450.5
3.9,176,450,449,450,449,450,449,449.5
3.9,177,450,448,450,448,450,449,449.17
3.9,178,449,448,449,448,449,448,448.5
3.9,179,448,447,449,447,449,447,447.83
3.9,180,448,447,448,447,448,447,447.5
3.9,181,447,446,448,446,448,446,446.83
3.9,182,447,446,447,446,447,446,446.5
3.9,183,446,445,446,445,446,445,445.5
3.9,184,446,444,446,444,446,445,445.17
3.9,185,445,444,445,444,445,444,444.5
3.9,186,445,443,445,443,444,443,443.83
3.9,187,444,443,444,443,444,443,443.5
3.9,188,443,442,443,442,443,442,442.5
3.9,189,443,441,443,441,443,442,442.17
3.9,190,442,440,442,441,442,441,441.33
3.9,191,441,440,441,440,442,440,440.67
3.9,192,441,440,441,440,441,440,440.5
3.9,193,441,439,440,439,440,439,439.67
3.9,194,440,438,440,438,440,439,439.17
3.9,195,439,438,439,438,439,438,438.5
3.9,196,438,437,439,437,438,438,437.83
3.9,197,438,437,438,437,438,437,437.5
3.9,198,437,436,438,436,438,436,436.83
3.9,199,437,436,437,436,437,436,436.5
3.9,200,436,435,436,435,436,435,435.5
3.9,201,436,435,436,434,436,435,435.33
3.9,202,435,434,435,434,435,434,434.5
3.9,203,434,433,435,433,435,434,434.0
3.9,204,434,432,434,433,434,433,433.33
3.9,205,433,432,433,432,433,432,432.5
3.9,206,433,431,433,432,433,432,432.33
3.9,207,432,431,432,431,432,431,431.5
3.9,208,432,430,432,430,432,430,431.0
3.9,209,431,430,431,430,431,430,430.5
3.9,210,430,429,430,429,431,429,429.67
3.9,211,430,428,430,429,430,429,429.33
3.9,212,429,428,429,428,429,428,428.5
3.9,213,429,428,429,428,429,428,428.5
3.9,214,428,427,428,427,428,427,427.5
3.9,215,427,426,427,426,428,427,426.83
3.9,216,427,426,427,426,427,426,426.5
3.9,217,426,425,426,425,426,425,425.5
3.9,218,425,424,426,424,426,425,425.0
3.9,219,425,424,425,424,425,424,424.5
3.9,220,424,423,424,423,425,423,423.67
3.9,221,424,422,424,423,424,423,423.33
3.9,222,423,422,423,422,424,422,422.67
3.9,223,422,422,422,422,423,422,422.17
3.9,224,422,421,422,421,422,421,421.5
3.9,225,421,420,422,421,422,421,421.17
3.9,226,421,420,421,420,421,420,420.5
3.9,227,420,419,420,419,420,419,419.5
3.9,228,419,419,420,419,420,419,419.33
3.9,229,419,418,419,418,419,418,418.5
3.9,230,418,418,418,418,418,418,418.0
3.9,231,418,417,418,417,418,417,417.5
3.9,232,417,416,417,416,418,417,416.83
3.9,233,416,416,417,416,417,416,416.33
3.9,234,416,415,416,415,416,416,415.67
3.9,235,415,414,416,415,416,415,415.17
3.9,236,415,414,415,414,415,414,414.5
3.9,237,414,413,414,413,414,414,413.67
3.9,238,413,413,414,413,414,413,413.33
3.9,239,413,412,413,413,414,412,412.83
3.9,240,412,411,412,412,413,412,412.0
3.9,241,412,411,412,411,412,412,411.67
3.9,242,411,411,411,410,411,411,410.83
3.9,243,410,410,411,411,411,410,410.5
3.9,244,410,409,410,409,410,409,409.5
3.9,245,409,409,410,409,410,409,409.33
3.9,246,409,408,409,409,409,409,408.83
3.9,247,408,407,408,408,408,408,407.83
3.9,248,408,407,408,407,408,407,407.5
3.9,249,407,407,407,407,408,407,407.17
3.9,250,406,406,407,406,407,406,406.33
3.9,251,406,405,406,406,406,406,405.83
3.9,252,406,405,405,405,406,405,405.33
3.9,253,405,404,405,404,405,404,404.5
3.9,254,404,404,404,404,404,404,404.0
3.9,255,403,403,403,403,404,404,403.33
