Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
4.6,0,526,526,526,526,526,526,526.0
4.6,1,526,526,526,526,525,526,525.83
4.6,2,526,526,526,526,526,526,526.0
4.6,3,525,526,525,526,526,526,525.67
4.6,4,525,526,525,526,526,526,525.67
4.6,5,526,525,526,525,525,526,525.5
4.6,6,526,526,525,526,526,526,525.83
4.6,7,526,526,526,526,526,525,525.83
4.6,8,526,526,526,525,526,526,525.83
4.6,9,525,526,526,526,526,525,525.67
4.6,10,526,525,526,526,526,526,525.83
4.6,11,526,526,526,526,526,526,526.0
4.6,12,526,525,526,526,525,525,525.5
4.6,13,525,526,526,526,526,526,525.83
4.6,14,526,525,525,526,525,526,525.5
4.6,15,526,525,526,526,525,526,525.67
4.6,16,525,526,526,526,526,526,525.83
4.6,17,526,526,526,525,526,525,525.67
4.6,18,526,525,526,526,526,525,525.67
4.6,19,525,525,525,525,525,525,525.0
4.6,20,525,525,525,525,525,526,525.17
4.6,21,525,525,526,525,525,525,525.17
4.6,22,525,525,525,525,525,525,525.0
4.6,23,525,525,525,525,525,525,525.0
4.6,24,525,525,525,525,525,525,525.0
4.6,25,525,524,525,524,524,525,524.5
4.6,26,524,524,524,524,525,525,524.33
4.6,27,524,524,524,524,524,524,524.0
4.6,28,524,524,524,524,524,523,523.83
4.6,29,523,523,523,523,523,523,523.0
4.6,30,523,523,523,523,523,523,523.0
4.6,31,523,522,523,523,523,522,522.67
4.6,32,523,522,522,522,522,522,522.17
4.6,33,522,522,522,522,522,522,522.0
4.6,34,521,521,521,521,522,521,521.17
4.6,35,521,521,521,521,521,521,521.0
4.6,36,521,520,521,520,520,520,520.33
4.6,37,520,520,520,520,520,520,520.0
4.6,38,520,519,520,519,520,519,519.5
4.6,39,519,519,519,519,519,519,519.0
4.6,40,519,518,519,518,519,518,518.5
4.6,41,518,518,518,518,519,518,518.17
4.6,42,518,517,518,518,518,517,517.67
4.6,43,518,517,517,517,517,517,517.17
4.6,44,517,516,517,516,517,516,516.5
4.6,45,516,516,516,516,517,516,516.17
4.6,46,516,515,516,515,516,515,515.5
4.6,47,516,515,516,515,516,515,515.5
4.6,48,515,514,515,514,515,514,514.5
4.6,49,515,514,514,514,514,514,514.17
4.6,50,514,513,514,513,514,513,513.5
4.6,51,513,513,513,513,513,513,513.0
4.6,52,513,512,513,512,513,512,512.5
4.6,53,512,511,513,512,512,511,511.83
4.6,54,512,511,512,511,512,511,511.5
4.6,55,512,510,511,510,511,510,510.67
4.6,56,511,510,511,510,511,510,510.5
4.6,57,510,509,510,509,510,509,509.5
4.6,58,510,508,510,508,510,509,509.17
4.6,59,509,508,509,508,509,508,508.5
4.6,60,509,508,508,508,508,508,508.17
4.6,61,508,507,508,507,508,507,507.5
4.6,62,508,506,507,507,507,506,506.83
4.6,63,507,506,507,506,507,506,506.5
4.6,64,507,505,506,505,506,505,505.67
4.6,65,506,504,506,505,506,505,505.33
4.6,66,505,504,505,504,505,504,504.5
4.6,67,505,504,505,503,505,503,504.17
4.6,68,504,503,504,503,504,503,503.5
4.6,69,503,502,503,502,503,502,502.5
4.6,70,503,502,503,502,503,502,502.5
4.6,71,502,501,502,501,502,501,501.5
4.6,72,502,501,501,501,502,500,501.17
4.6,73,501,500,501,500,501,500,500.5
4.6,74,500,500,501,499,501,499,500.0
4.6,75,500,499,500,499,500,499,499.5
4.6,76,499,498,499,498,499,498,498.5
4.6,77,499,497,499,498,498,497,498.0
4.6,78,498,497,498,497,498,496,497.33
4.6,79,497,496,498,496,497,496,496.67
4.6,80,497,496,497,495,497,496,496.33
4.6,81,497,495,496,495,496,495,495.67
4.6,82,496,494,496,495,496,495,495.33
4.6,83,495,494,495,494,495,494,494.5
4.6,84,495,493,495,493,495,493,494.0
4.6,85,494,493,494,492,494,493,493.33
4.6,86,493,492,493,492,493,492,492.5
4.6,87,493,491,493,491,493,491,492.0
4.6,88,492,491,492,491,492,491,491.5
4.6,89,492,490,491,490,491,490,490.67
4.6,90,491,490,491,489,491,490,490.33
4.6,91,490,489,490,489,490,489,489.5
4.6,92,490,488,489,488,490,488,488.83
4.6,93,489,488,489,488,489,488,488.5
4.6,94,488,487,488,487,489,487,487.67
4.6,95,488,486,488,487,488,486,487.17
4.6,96,487,486,487,486,487,486,486.5
4.6,97,487,485,487,485,486,485,485.83
4.6,98,486,485,486,485,486,484,485.33
4.6,99,485,484,485,484,485,484,484.5
4.6,100,485,483,484,484,485,483,484.0
4.6,101,484,483,484,482,484,483,483.33
4.6,102,484,482,483,482,483,482,482.67
4.6,103,483,482,483,481,483,482,482.33
4.6,104,483,481,482,481,482,481,481.67
4.6,105,482,480,482,480,482,480,481.0
4.6,106,481,480,481,480,481,480,480.5
4.6,107,480,479,481,479,481,479,479.83
4.6,108,480,479,480,479,480,478,479.33
4.6,109,479,478,479,478,479,478,478.5
4.6,110,478,477,479,477,478,477,477.67
4.6,111,478,476,478,477,478,476,477.17
4.6,112,477,476,478,476,477,476,476.67
4.6,113,477,475,476,475,477,475,475.83
4.6,114,476,475,476,475,476,475,475.5
4.6,115,475,474,475,474,475,474,474.5
4.6,116,475,473,475,473,475,473,474.0
4.6,117,474,473,474,473,474,473,473.5
4.6,118,473,472,473,472,473,472,472.5
4.6,119,473,471,473,471,472,471,471.83
4.6,120,472,470,472,471,472,471,471.33
4.6,121,471,470,471,470,471,470,470.5
4.6,122,471,470,471,470,471,469,470.33
4.6,123,470,469,470,469,470,469,469.5
4.6,124,469,468,470,468,469,468,468.67
4.6,125,469,467,469,467,469,467,468.0
4.6,126,468,467,468,467,468,467,467.5
4.6,127,468,466,468,466,468,466,467.0
4.6,128,467,465,467,466,467,465,466.17
4.6,129,466,465,466,465,466,465,465.5
4.6,130,466,464,466,464,465,464,464.83
4.6,131,465,463,465,464,465,464,464.33
4.6,132,464,463,465,463,465,463,463.83
4.6,133,464,462,464,462,464,463,463.17
4.6,134,463,461,463,462,463,462,462.33
4.6,135,463,461,462,461,463,461,461.83
4.6,136,462,460,462,460,462,460,461.0
4.6,137,461,460,461,460,461,460,460.5
4.6,138,461,459,461,459,461,459,460.0
4.6,139,460,458,460,458,460,458,459.0
4.6,140,459,458,459,457,460,457,458.33
4.6,141,459,457,459,457,459,457,458.0
4.6,142,458,456,458,457,458,456,457.17
4.6,143,458,456,457,456,457,456,456.67
4.6,144,457,455,457,455,457,455,456.0
4.6,145,456,454,456,454,456,454,455.0
4.6,146,456,454,455,454,455,454,454.67
4.6,147,455,453,455,453,455,453,454.0
4.6,148,454,453,454,453,454,453,453.5
4.6,149,453,452,453,452,453,452,452.5
4.6,150,453,451,453,451,453,451,452.0
4.6,151,452,451,452,450,452,451,451.33
4.6,152,451,450,452,450,452,450,450.83
4.6,153,451,449,451,449,451,449,450.0
4.6,154,450,448,450,448,450,449,449.17
4.6,155,450,448,449,448,449,448,448.67
4.6,156,449,447,449,447,449,448,448.17
4.6,157,448,447,448,447,448,447,447.5
4.6,158,447,446,447,446,448,446,446.67
4.6,159,447,445,447,445,447,445,446.0
4.6,160,446,445,446,445,446,445,445.5
4.6,161,445,444,446,444,446,444,444.83
4.6,162,445,443,445,443,445,443,444.0
4.6,163,444,443,444,443,444,443,443.5
4.6,164,444,442,443,442,443,442,442.67
4.6,165,443,441,443,441,443,441,442.0
4.6,166,442,441,442,441,442,440,441.33
4.6,167,441,440,442,440,441,440,440.67
4.6,168,441,439,441,439,441,439,440.0
4.6,169,440,439,440,439,440,439,439.5
4.6,170,439,438,439,438,439,438,438.5
4.6,171,439,438,439,438,439,438,438.5
4.6,172,438,437,438,437,438,437,437.5
4.6,173,437,436,438,436,437,436,436.67
4.6,174,437,436,437,435,437,435,436.17
4.6,175,436,435,436,435,436,435,435.5
