Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
5.1,0,526,526,526,526,526,526,526.0
5.1,1,526,525,526,526,526,526,525.83
5.1,2,526,526,526,526,526,526,526.0
5.1,3,525,526,526,526,525,526,525.67
5.1,4,526,526,526,526,526,526,526.0
5.1,5,526,526,526,525,526,525,525.67
5.1,6,525,525,526,526,526,526,525.67
5.1,7,526,525,526,526,526,526,525.83
5.1,8,526,526,526,526,526,526,526.0
5.1,9,526,526,526,526,526,525,525.83
5.1,10,526,526,526,526,526,526,526.0
5.1,11,526,525,526,525,526,526,525.67
5.1,12,526,525,526,526,525,526,525.67
5.1,13,526,526,526,526,526,526,526.0
5.1,14,525,525,526,526,525,525,525.33
5.1,15,526,525,525,525,525,526,525.33
5.1,16,525,525,525,526,526,525,525.33
5.1,17,526,526,526,525,525,525,525.5
5.1,18,525,526,525,525,526,525,525.33
5.1,19,525,525,525,525,526,525,525.17
5.1,20,525,525,525,525,525,525,525.0
5.1,21,525,525,525,525,525,525,525.0
5.1,22,525,525,525,525,525,525,525.0
5.1,23,525,525,525,524,525,524,524.67
5.1,24,524,524,525,524,524,524,524.17
5.1,25,524,523,524,524,524,524,523.83
5.1,26,524,523,524,523,524,523,523.5
5.1,27,523,523,523,523,523,523,523.0
5.1,28,523,523,523,522,523,522,522.67
5.1,29,522,522,522,522,522,522,522.0
5.1,30,522,522,522,522,522,522,522.0
5.1,31,522,521,521,521,521,521,521.17
5.1,32,521,521,521,521,521,521,521.0
5.1,33,521,520,520,520,521,520,520.33
5.1,34,520,520,520,519,520,519,519.67
5.1,35,520,519,520,519,520,519,519.5
5.1,36,519,518,519,519,519,519,518.83
5.1,37,519,518,518,518,518,518,518.17
5.1,38,518,517,518,518,518,517,517.67
5.1,39,518,517,518,517,518,517,517.5
5.1,40,517,516,517,516,517,516,516.5
5.1,41,517,516,517,516,517,516,516.5
5.1,42,516,515,516,515,516,515,515.5
5.1,43,516,515,515,515,515,515,515.17
5.1,44,515,514,515,514,515,514,514.5
5.1,45,514,514,515,514,514,513,514.0
5.1,46,514,513,514,513,514,513,513.5
5.1,47,513,513,513,512,513,512,512.67
