Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
6.06,0,526,525,526,526,526,526,525.83
6.06,1,525,525,526,526,526,526,525.67
6.06,2,526,526,525,526,526,526,525.83
6.06,3,526,525,525,526,525,526,525.5
6.06,4,525,526,525,525,526,526,525.5
6.06,5,525,526,526,525,526,526,525.67
6.06,6,525,525,526,526,526,526,525.67
6.06,7,526,525,525,526,526,525,525.5
6.06,8,526,526,526,526,526,526,526.0
6.06,9,525,526,526,526,526,526,525.83
6.06,10,525,525,525,525,526,526,525.33
6.06,11,525,526,526,526,526,526,525.83
6.06,12,525,526,525,526,526,526,525.67
6.06,13,525,525,526,526,526,525,525.5
6.06,14,525,525,526,526,526,525,525.5
6.06,15,526,525,525,525,526,525,525.33
6.06,16,525,525,525,526,525,525,525.17
6.06,17,525,525,525,525,525,525,525.0
6.06,18,524,525,525,525,525,525,524.83
6.06,19,524,524,525,524,525,525,524.5
6.06,20,525,524,524,524,524,524,524.17
6.06,21,524,524,524,524,524,524,524.0
6.06,22,524,523,524,523,523,523,523.33
6.06,23,523,523,523,523,523,523,523.0
6.06,24,523,522,522,522,523,522,522.33
6.06,25,522,522,522,522,522,522,522.0
6.06,26,522,521,522,521,521,521,521.33
6.06,27,521,520,521,520,521,521,520.67
6.06,28,521,520,520,520,520,520,520.17
6.06,29,520,520,520,519,520,519,519.67
6.06,30,520,519,519,519,519,519,519.17
6.06,31,519,518,519,518,519,518,518.5
6.06,32,519,518,518,518,518,517,518.0
6.06,33,518,517,518,517,518,517,517.5
6.06,34,517,516,517,516,517,516,516.5
6.06,35,516,516,516,516,516,515,515.83
6.06,36,515,515,516,515,516,515,515.33
6.06,37,515,514,515,514,515,515,514.67
6.06,38,515,514,514,513,514,514,514.0
6.06,39,514,513,514,513,514,513,513.5
6.06,40,513,512,513,512,513,512,512.5
6.06,41,513,511,512,512,513,511,512.0
6.06,42,512,511,512,511,512,511,511.5
6.06,43,511,510,511,510,511,510,510.5
6.06,44,510,509,510,509,511,509,509.67
6.06,45,510,509,510,509,509,508,509.17
6.06,46,509,508,509,507,509,508,508.33
6.06,47,508,507,508,508,508,507,507.67
6.06,48,508,506,507,506,508,506,506.83
6.06,49,507,506,507,506,507,506,506.5
6.06,50,506,505,506,505,506,505,505.5
6.06,51,505,504,505,504,505,504,504.5
6.06,52,505,504,505,504,505,503,504.33
6.06,53,504,502,504,502,504,503,503.17
6.06,54,503,502,503,502,503,502,502.5
6.06,55,503,501,502,501,502,501,501.67
6.06,56,502,500,502,500,502,500,501.0
6.06,57,501,499,501,500,501,500,500.33
6.06,58,500,499,500,499,500,499,499.5
6.06,59,500,498,499,499,500,498,499.0
6.06,60,499,497,499,497,499,497,498.0
6.06,61,498,497,498,497,498,497,497.5
6.06,62,497,496,497,496,497,496,496.5
6.06,63,497,495,496,495,496,495,495.67
6.06,64,496,494,496,494,496,495,495.17
6.06,65,495,494,495,494,495,493,494.33
6.06,66,494,493,494,493,494,493,493.5
6.06,67,494,492,494,492,493,492,492.83
6.06,68,493,491,493,491,493,491,492.0
6.06,69,492,490,492,490,492,491,491.17
6.06,70,492,490,491,490,491,490,490.67
6.06,71,491,489,490,489,490,489,489.67
6.06,72,490,488,490,488,489,488,488.83
6.06,73,489,487,488,488,488,487,487.83
6.06,74,488,487,488,486,488,486,487.17
6.06,75,488,486,487,486,487,486,486.67
6.06,76,486,485,487,485,487,485,485.83
6.06,77,486,484,486,484,486,484,485.0
6.06,78,485,483,485,483,484,484,484.0
6.06,79,484,482,484,483,484,483,483.33
6.06,80,484,482,483,482,483,482,482.67
6.06,81,482,481,482,480,482,481,481.33
6.06,82,482,480,482,480,482,480,481.0
6.06,83,481,479,480,479,481,480,480.0
6.06,84,480,478,480,478,480,479,479.17
6.06,85,480,478,479,478,479,478,478.67
6.06,86,478,477,478,477,479,477,477.67
6.06,87,478,476,478,476,478,476,477.0
6.06,88,477,475,477,475,477,475,476.0
6.06,89,476,475,476,475,477,475,475.67
6.06,90,476,474,475,474,475,474,474.67
6.06,91,474,473,474,472,475,473,473.5
6.06,92,474,472,474,472,474,472,473.0
6.06,93,473,471,473,471,473,471,472.0
6.06,94,472,470,472,471,472,470,471.17
6.06,95,472,470,471,470,471,470,470.67
6.06,96,470,469,470,469,470,469,469.5
6.06,97,470,468,470,468,470,468,469.0
6.06,98,469,467,469,467,469,467,468.0
6.06,99,468,466,468,466,468,466,467.0
6.06,100,467,465,467,465,467,466,466.17
6.06,101,466,464,466,465,467,465,465.5
6.06,102,466,464,466,464,465,464,464.83
6.06,103,465,463,465,463,465,463,464.0
6.06,104,464,463,464,463,464,462,463.33
6.06,105,463,462,463,461,463,462,462.33
6.06,106,463,460,463,461,463,461,461.83
6.06,107,462,460,462,460,462,460,461.0
6.06,108,461,459,461,459,461,459,460.0
6.06,109,460,458,460,458,460,458,459.0
6.06,110,459,457,459,458,459,457,458.17
6.06,111,458,457,458,456,458,457,457.33
6.06,112,457,456,458,456,458,456,456.83
6.06,113,457,455,457,455,456,455,455.83
6.06,114,456,454,456,454,456,454,455.0
6.06,115,455,453,455,453,455,453,454.0
6.06,116,454,453,454,453,454,452,453.33
6.06,117,453,451,453,452,453,452,452.33
6.06,118,452,451,452,451,453,451,451.67
6.06,119,451,450,452,450,452,450,450.83
6.06,120,451,449,451,449,451,449,450.0
6.06,121,450,448,450,448,450,448,449.0
6.06,122,449,447,449,447,449,447,448.0
6.06,123,448,447,448,447,449,447,447.67
6.06,124,448,446,448,446,447,446,446.83
6.06,125,447,445,447,446,447,445,446.17
6.06,126,446,444,446,444,446,444,445.0
6.06,127,445,444,445,444,445,443,444.33
6.06,128,444,442,444,442,444,442,443.0
6.06,129,443,442,443,442,443,442,442.5
6.06,130,442,441,442,441,443,441,441.67
6.06,131,442,440,442,440,442,440,441.0
