Voltage,PWM,Up1,Down1,Up2,Down2,Up3,Down3,Average
6.6,0,526,526,526,526,525,525,525.67
6.6,1,526,526,526,526,526,525,525.83
6.6,2,526,525,526,526,526,525,525.67
6.6,3,526,526,525,526,526,526,525.83
6.6,4,526,525,526,526,526,525,525.67
6.6,5,525,526,526,525,525,525,525.33
6.6,6,525,525,526,525,526,526,525.5
6.6,7,526,526,526,525,526,526,525.83
6.6,8,526,526,526,526,526,526,526.0
6.6,9,526,525,526,526,525,525,525.5
6.6,10,525,526,526,526,525,526,525.67
6.6,11,525,526,526,525,526,525,525.5
6.6,12,526,525,525,526,525,525,525.33
6.6,13,526,525,525,525,525,525,525.17
6.6,14,525,525,526,525,525,525,525.17
6.6,15,525,525,525,525,525,525,525.0
6.6,16,525,525,525,525,525,525,525.0
6.6,17,525,525,525,525,525,525,525.0
6.6,18,524,524,524,524,524,524,524.0
6.6,19,524,524,524,524,524,524,524.0
6.6,20,523,523,523,523,523,523,523.0
6.6,21,523,523,523,523,523,523,523.0
6.6,22,523,522,523,522,523,522,522.5
6.6,23,522,522,522,522,522,521,521.83
6.6,24,522,521,522,521,521,521,521.33
6.6,25,521,520,521,520,521,520,520.5
6.6,26,521,520,520,520,520,520,520.17
6.6,27,520,519,520,519,520,519,519.5
6.6,28,519,519,519,518,519,518,518.67
6.6,29,519,518,519,518,519,518,518.5
6.6,30,518,517,518,517,518,517,517.5
6.6,31,517,516,517,516,517,516,516.5
6.6,32,517,516,516,516,517,516,516.33
6.6,33,516,515,516,515,516,515,515.5
6.6,34,515,514,515,514,515,514,514.5
6.6,35,515,514,514,513,514,514,514.0
6.6,36,514,513,514,513,514,513,513.5
6.6,37,513,512,513,512,513,512,512.5
6.6,38,512,512,512,511,512,511,511.67
6.6,39,512,511,512,510,512,511,511.33
6.6,40,511,510,511,510,511,510,510.5
6.6,41,510,509,510,509,510,509,509.5
6.6,42,510,508,509,508,509,508,508.67
6.6,43,509,508,509,508,509,507,508.33
6.6,44,508,507,508,507,508,506,507.33
6.6,45,507,506,507,506,507,506,506.5
6.6,46,506,505,506,505,506,505,505.5
6.6,47,506,505,506,504,505,504,505.0
6.6,48,505,503,504,503,505,504,504.0
6.6,49,504,503,504,503,504,503,503.5
6.6,50,503,502,503,502,503,502,502.5
6.6,51,502,501,502,501,502,501,501.5
6.6,52,502,500,501,500,502,500,500.83
6.6,53,501,499,501,499,501,500,500.17
6.6,54,500,499,500,498,500,499,499.33
6.6,55,499,498,499,498,499,498,498.5
6.6,56,498,497,499,497,499,497,497.83
6.6,57,498,496,497,496,497,496,496.67
6.6,58,497,495,497,495,497,496,496.17
6.6,59,496,495,496,495,496,495,495.5
6.6,60,496,493,495,494,495,494,494.5
6.6,61,495,493,495,493,495,493,494.0
6.6,62,494,492,493,492,493,492,492.67
6.6,63,493,491,493,491,493,491,492.0
6.6,64,492,491,492,490,492,490,491.17
6.6,65,491,489,491,489,491,490,490.17
6.6,66,490,489,490,488,490,489,489.33
6.6,67,490,488,489,488,489,488,488.67
6.6,68,488,487,489,487,489,487,487.83
6.6,69,488,486,488,486,488,486,487.0
6.6,70,487,485,487,485,487,485,486.0
6.6,71,486,485,486,485,486,484,485.33
6.6,72,485,484,485,483,485,484,484.33
6.6,73,484,483,485,483,484,483,483.67
6.6,74,483,482,484,482,484,482,482.83
6.6,75,483,481,483,481,483,481,482.0
6.6,76,482,480,482,480,482,480,481.0
6.6,77,481,479,481,479,481,479,480.0
6.6,78,480,479,480,479,480,479,479.5
6.6,79,479,477,479,478,479,478,478.33
6.6,80,479,477,479,476,478,477,477.67
6.6,81,477,476,478,476,478,476,476.83
6.6,82,477,475,477,475,477,475,476.0
6.6,83,476,474,476,474,476,474,475.0
6.6,84,475,473,475,473,475,473,474.0
6.6,85,474,472,474,472,474,472,473.0
6.6,86,474,472,474,472,473,472,472.83
6.6,87,472,471,472,470,472,471,471.33
6.6,88,471,470,472,470,472,470,470.83
6.6,89,471,469,471,469,471,469,470.0
6.6,90,470,468,470,468,470,468,469.0
6.6,91,469,467,469,467,469,467,468.0
6.6,92,468,466,468,466,468,466,467.0
6.6,93,467,465,467,466,467,465,466.17
6.6,94,467,464,467,464,466,464,465.33
6.6,95,465,464,465,464,465,464,464.5
6.6,96,465,463,465,463,465,463,464.0
6.6,97,464,462,464,462,464,462,463.0
6.6,98,463,461,463,461,463,461,462.0
6.6,99,462,460,462,460,462,460,461.0
6.6,100,461,460,461,460,461,459,460.33
6.6,101,461,458,460,458,461,459,459.5
6.6,102,460,458,460,458,459,457,458.67
6.6,103,458,457,458,456,459,457,457.5
6.6,104,458,456,457,456,458,456,456.83
6.6,105,456,455,457,455,457,455,455.83
6.6,106,456,454,456,454,456,454,455.0
6.6,107,455,453,455,453,455,453,454.0
6.6,108,454,452,454,452,454,452,453.0
6.6,109,453,451,453,452,453,452,452.33
6.6,110,453,451,452,450,452,450,451.33
6.6,111,451,449,451,450,452,450,450.5
6.6,112,450,449,451,449,450,449,449.67
6.6,113,450,448,450,448,449,448,448.83
6.6,114,449,447,449,447,449,447,448.0
6.6,115,448,446,448,446,448,446,447.0
6.6,116,447,445,447,445,447,445,446.0
6.6,117,446,445,446,445,446,444,445.33
6.6,118,445,443,445,443,445,443,444.0
6.6,119,445,443,445,443,445,443,444.0
6.6,120,443,441,443,442,443,442,442.33
6.6,121,442,441,443,441,443,441,441.83
6.6,122,441,440,441,440,442,440,440.67
6.6,123,441,439,441,439,441,439,440.0
6.6,124,440,438,440,438,440,439,439.17
6.6,125,439,437,439,437,439,437,438.0
6.6,126,439,436,438,436,438,437,437.33
6.6,127,437,435,437,435,437,436,436.17
6.6,128,437,434,436,435,436,435,435.5
6.6,129,435,434,435,433,435,434,434.33
6.6,130,435,433,435,433,435,433,434.0
6.6,131,434,432,433,432,434,432,432.83
6.6,132,433,431,433,431,433,431,432.0
6.6,133,432,430,432,430,432,430,431.0
6.6,134,431,429,431,429,431,429,430.0
6.6,135,430,428,430,428,430,428,429.0
6.6,136,429,427,429,427,430,427,428.17
6.6,137,428,426,428,426,428,427,427.17
6.6,138,427,426,427,425,428,425,426.33
